id,text_en,text_am,label,ubuntu_harm_type,relational_harm,relation_target,severity,context,language,rationale_en,rationale_am
15,We can disagree without hate.,ያለ ጥላቻ መለያየት እንችላለን።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
16,They are less than human.,ከሰው በታች ናቸው።,hate_speech,dehumanization,Yes,group,high,meeting,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
17,We should listen before judging.,ከመፍረድ በፊት ማዳመጥ አለብን።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
18,Nobody wants to hear you.,ማንም ሊሰማህ አይፈልግም።,hate_speech,silencing,Yes,individual/group,medium,public debate,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
19,They are not fully human.,እነሱ ሙሉ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,family conversation,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
20,You do not belong here.,እዚህ አትመለከቱም።,hate_speech,belonging denial,Yes,group,high,workplace,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
21,They are a danger to everyone.,እነሱ ለሁሉም ስጋት ናቸው።,hate_speech,threat,Yes,group,high,civic discussion,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
22,We can disagree without hate.,ያለ ጥላቻ መለያየት እንችላለን።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
23,They are less than human.,ከሰው በታች ናቸው።,hate_speech,dehumanization,Yes,group,high,workplace,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
24,That group is always the problem.,ያ ቡድን ሁልጊዜ ችግር ነው።,hate_speech,stereotyping,Yes,group,medium,meeting,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
25,They are less than human.,ከሰው በታች ናቸው።,hate_speech,dehumanization,Yes,group,high,family conversation,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
26,We can disagree without hate.,ያለ ጥላቻ መለያየት እንችላለን።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
27,People deserve fairness and care.,ሰዎች ፍትሃዊነት እና እንክብካቤ ይገባቸዋል።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
28,Everyone deserves dignity.,ሁሉም ሰው ክብር ይገባዋል።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
29,We can disagree without hate.,ያለ ጥላቻ መለያየት እንችላለን።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
30,They are a danger to everyone.,እነሱ ለሁሉም ስጋት ናቸው።,hate_speech,threat,Yes,group,high,public debate,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
31,Different views can still be handled kindly.,የተለያዩ አስተያየቶች በቸርነት ሊታዩ ይችላሉ።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
32,You do not belong in this community.,በዚህ ማህበረሰብ ውስጥ አትገባም።,hate_speech,belonging denial,Yes,group,high,community discussion,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
33,That group is always the problem.,ያ ቡድን ሁልጊዜ ችግር ነው።,hate_speech,stereotyping,Yes,group,medium,workplace,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
34,We should correct mistakes without humiliation.,ስህተትን ያለ ውርደት ማስተካከል አለብን።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
35,Leave our community now.,ከማህበረሰባችን አሁን ውጣ።,hate_speech,exclusion,Yes,group,high,online forum,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
36,We should speak respectfully.,በክብር መናገር አለብን።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
37,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
38,They are a danger to everyone.,እነሱ ለሁሉም ስጋት ናቸው።,hate_speech,threat,Yes,group,high,school,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
39,We can solve this together.,ይህን በጋራ ልንፈታ እንችላለን።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
40,We should speak respectfully.,በክብር መናገር አለብን።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
41,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,belonging denial,Yes,group,high,community discussion,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
42,We should speak respectfully.,በክብር መናገር አለብን።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
43,Every person should be heard.,እያንዳንዱ ሰው መሰማት አለበት።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
44,Every person should be heard.,እያንዳንዱ ሰው መሰማት አለበት።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
45,We should speak respectfully.,በክብር መናገር አለብን።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
46,People deserve fairness and care.,ሰዎች ፍትሃዊነት እና እንክብካቤ ይገባቸዋል።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
47,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,belonging denial,Yes,group,high,community discussion,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
48,We can disagree without hate.,ያለ ጥላቻ መለያየት እንችላለን።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
49,Different views can still be handled kindly.,የተለያዩ አስተያየቶች በቸርነት ሊታዩ ይችላሉ።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
50,We should fear what they will do.,ምን እንደሚያደርጉ መፍራት አለብን።,hate_speech,threat,Yes,group,high,school,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
51,You do not belong here.,እዚህ አትመለከቱም።,hate_speech,belonging denial,Yes,group,high,workplace,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
52,You should be pushed out.,መባረር አለብህ።,hate_speech,exclusion,Yes,group,high,school,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
53,We can disagree without hate.,ያለ ጥላቻ መለያየት እንችላለን።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
54,You should be pushed out.,መባረር አለብህ።,hate_speech,exclusion,Yes,group,high,civic discussion,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
55,Everyone has value in this room.,በዚህ ክፍል ያለ ሁሉም ሰው ዋጋ አለው።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
56,Different views can still be handled kindly.,የተለያዩ አስተያየቶች በቸርነት ሊታዩ ይችላሉ።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
57,They are not fully human.,እነሱ ሙሉ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,meeting,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
58,Your voice does not matter here.,እዚህ ድምፅህ አይቆጠርም።,hate_speech,silencing,Yes,individual/group,medium,online forum,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
59,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,belonging denial,Yes,group,high,family conversation,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
60,Nobody wants to hear you.,ማንም ሊሰማህ አይፈልግም።,hate_speech,silencing,Yes,individual/group,medium,public debate,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
61,You should be pushed out.,መባረር አለብህ።,hate_speech,exclusion,Yes,group,high,public debate,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
62,We should fear what they will do.,ምን እንደሚያደርጉ መፍራት አለብን።,hate_speech,threat,Yes,group,high,school,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
63,We should correct mistakes without humiliation.,ስህተትን ያለ ውርደት ማስተካከል አለብን።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
64,We should speak respectfully.,በክብር መናገር አለብን።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
65,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
66,We should treat people fairly.,ሰዎችን በፍትሃዊነት ማየት አለብን።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
67,Everyone deserves dignity.,ሁሉም ሰው ክብር ይገባዋል።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
68,They are a danger to everyone.,እነሱ ለሁሉም ስጋት ናቸው።,hate_speech,threat,Yes,group,high,public debate,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
69,They threaten our safety.,ደህንነታችንን ይሸብራሉ።,hate_speech,threat,Yes,group,high,public debate,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
70,Everyone deserves dignity.,ሁሉም ሰው ክብር ይገባዋል።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
71,They are not real people.,እውነተኛ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,community discussion,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
72,We can disagree without hate.,ያለ ጥላቻ መለያየት እንችላለን።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
73,Let us work for peace.,ለሰላም በጋራ እንስራ።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
74,You should be pushed out.,መባረር አለብህ።,hate_speech,exclusion,Yes,group,high,online forum,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
75,People deserve fairness and care.,ሰዎች ፍትሃዊነት እና እንክብካቤ ይገባቸዋል።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
76,They are less than human.,ከሰው በታች ናቸው።,hate_speech,dehumanization,Yes,group,high,community discussion,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
77,They are not real people.,እውነተኛ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,family conversation,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
78,We should treat people fairly.,ሰዎችን በፍትሃዊነት ማየት አለብን።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
79,Every person should be heard.,እያንዳንዱ ሰው መሰማት አለበት።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
80,We should listen before judging.,ከመፍረድ በፊት ማዳመጥ አለብን።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
81,They threaten our safety.,ደህንነታችንን ይሸብራሉ።,hate_speech,threat,Yes,group,high,civic discussion,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
82,They are a danger to everyone.,እነሱ ለሁሉም ስጋት ናቸው።,hate_speech,threat,Yes,group,high,online forum,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
83,A fair discussion includes every voice.,ፍትሃዊ ውይይት ሁሉንም ድምፅ ያካትታል።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
84,They are not real people.,እውነተኛ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,family conversation,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
85,Respect helps communities grow stronger.,ክብር ማህበረሰቦችን ያጠናክራል።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
86,Your voice does not matter here.,እዚህ ድምፅህ አይቆጠርም።,hate_speech,silencing,Yes,individual/group,medium,civic discussion,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
87,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,belonging denial,Yes,group,high,meeting,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
88,Your voice does not matter here.,እዚህ ድምፅህ አይቆጠርም።,hate_speech,silencing,Yes,individual/group,medium,public debate,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
89,You do not belong in this community.,በዚህ ማህበረሰብ ውስጥ አትገባም።,hate_speech,belonging denial,Yes,group,high,workplace,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
90,You should be pushed out.,መባረር አለብህ።,hate_speech,exclusion,Yes,group,high,school,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
91,Respect helps communities grow stronger.,ክብር ማህበረሰቦችን ያጠናክራል።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
92,They are not fully human.,እነሱ ሙሉ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,workplace,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
93,Get out of our space.,ከቦታችን ውጣ።,hate_speech,exclusion,Yes,group,high,civic discussion,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
94,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,belonging denial,Yes,group,high,meeting,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
95,We can disagree without hate.,ያለ ጥላቻ መለያየት እንችላለን።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
96,People deserve fairness and care.,ሰዎች ፍትሃዊነት እና እንክብካቤ ይገባቸዋል።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
97,Get out of our space.,ከቦታችን ውጣ።,hate_speech,exclusion,Yes,group,high,school,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
98,We should listen before judging.,ከመፍረድ በፊት ማዳመጥ አለብን።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
99,Your voice does not matter here.,እዚህ ድምፅህ አይቆጠርም።,hate_speech,silencing,Yes,individual/group,medium,school,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
100,We should listen before judging.,ከመፍረድ በፊት ማዳመጥ አለብን።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
101,We should treat people fairly.,ሰዎችን በፍትሃዊነት ማየት አለብን።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
102,Everyone has value in this room.,በዚህ ክፍል ያለ ሁሉም ሰው ዋጋ አለው።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
103,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
104,They are a danger to everyone.,እነሱ ለሁሉም ስጋት ናቸው።,hate_speech,threat,Yes,group,high,online forum,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
105,People like them always cause trouble.,እንደ እነሱ ያሉ ሰዎች ሁልጊዜ ችግር ያመጣሉ።,hate_speech,stereotyping,Yes,group,medium,family conversation,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
106,That group is always the problem.,ያ ቡድን ሁልጊዜ ችግር ነው።,hate_speech,stereotyping,Yes,group,medium,workplace,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
107,Everyone deserves dignity.,ሁሉም ሰው ክብር ይገባዋል።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
108,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
109,Everyone deserves dignity.,ሁሉም ሰው ክብር ይገባዋል።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
110,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,belonging denial,Yes,group,high,meeting,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
111,People deserve fairness and care.,ሰዎች ፍትሃዊነት እና እንክብካቤ ይገባቸዋል።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
112,We should speak respectfully.,በክብር መናገር አለብን።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
113,Every person should be heard.,እያንዳንዱ ሰው መሰማት አለበት።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
114,Different views can still be handled kindly.,የተለያዩ አስተያየቶች በቸርነት ሊታዩ ይችላሉ።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
115,People like them always cause trouble.,እንደ እነሱ ያሉ ሰዎች ሁልጊዜ ችግር ያመጣሉ።,hate_speech,stereotyping,Yes,group,medium,community discussion,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
116,We can disagree without hate.,ያለ ጥላቻ መለያየት እንችላለን።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
117,Let us work for peace.,ለሰላም በጋራ እንስራ።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
118,A fair discussion includes every voice.,ፍትሃዊ ውይይት ሁሉንም ድምፅ ያካትታል።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
119,A fair discussion includes every voice.,ፍትሃዊ ውይይት ሁሉንም ድምፅ ያካትታል።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
120,You should stay silent.,ዝም ብለህ መቆየት አለብህ።,hate_speech,silencing,Yes,individual/group,medium,civic discussion,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
121,They are less than human.,ከሰው በታች ናቸው።,hate_speech,dehumanization,Yes,group,high,family conversation,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
122,That group is always the problem.,ያ ቡድን ሁልጊዜ ችግር ነው።,hate_speech,stereotyping,Yes,group,medium,community discussion,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
123,That group is always the problem.,ያ ቡድን ሁልጊዜ ችግር ነው።,hate_speech,stereotyping,Yes,group,medium,community discussion,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
124,We should speak respectfully.,በክብር መናገር አለብን።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
125,Respect helps communities grow stronger.,ክብር ማህበረሰቦችን ያጠናክራል።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
126,People deserve fairness and care.,ሰዎች ፍትሃዊነት እና እንክብካቤ ይገባቸዋል።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
127,A fair discussion includes every voice.,ፍትሃዊ ውይይት ሁሉንም ድምፅ ያካትታል።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
128,We should correct mistakes without humiliation.,ስህተትን ያለ ውርደት ማስተካከል አለብን።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
129,Nobody wants to hear you.,ማንም ሊሰማህ አይፈልግም።,hate_speech,silencing,Yes,individual/group,medium,public debate,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
130,We can solve this together.,ይህን በጋራ ልንፈታ እንችላለን።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
